======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=  114 a=  3(BUILD:Farm) r= -0.9490 cum=   -145.49 v= +6.6526 top5=[a43=0.043, a39=0.033, a30=0.033, a11=0.032, a34=0.031] [BUILD: Farm]
  s=  115 a= 43(MANAGER:9) r= -0.9523 cum=   -146.45 v= +6.8225 top5=[a43=0.043, a39=0.033, a30=0.032, a11=0.032, a17=0.029]
  s=  116 a= 27(BUILD:WaterMill) r= -4.2827 cum=   -150.73 v= +5.7761 top5=[a43=0.036, a39=0.031, a34=0.031, a30=0.030, a18=0.028] [BUILD FAILED: WaterMill]
  s=  117 a= 23(BUILD:Torchlight) r= -0.9578 cum=   -151.69 v= +5.8462 top5=[a43=0.036, a39=0.031, a30=0.030, a34=0.029, a18=0.028] [BUILD: Torchlight]
  s=  118 a= 28(BUILD:BigRefinary) r= -0.9643 cum=   -152.65 v= +5.8620 top5=[a43=0.036, a39=0.031, a30=0.030, a34=0.029, a18=0.028] [BUILD: BigRefinary]
  s=  119 a= 40(MANAGER:6) r= -4.3056 cum=   -156.96 v= +5.8703 top5=[a43=0.036, a39=0.031, a30=0.030, a34=0.028, a18=0.028]
  s=  120 a= 43(MANAGER:9) r= -0.9664 cum=   -157.92 v= +5.8789 top5=[a43=0.036, a39=0.031, a30=0.030, a34=0.028, a18=0.028]
  s=  121 a= 43(MANAGER:9) r= -0.9729 cum=   -158.90 v= +5.8876 top5=[a43=0.036, a39=0.031, a30=0.030, a18=0.028, a34=0.027]
  s=  122 a= 17(BUILD:HuntingLand) r= -4.3276 cum=   -163.22 v= +5.8984 top5=[a43=0.036, a39=0.031, a30=0.030, a18=0.027, a34=0.027] [BUILD FAILED: HuntingLand]
  s=  123 a= 18(BUILD:CowFarm) r= -0.9770 cum=   -164.20 v= +5.9035 top5=[a43=0.036, a39=0.031, a30=0.030, a18=0.027, a11=0.027] [BUILD: CowFarm]
